asin,itemName,sku,is_fba,kitFlag,channel_name,quantity
B00BOUVG62,AG-KC1340-CHV-RED,AG-KC1340-CHV-RED-FBA,TRUE,FALSE,Amazon US,0
B00BHMFK9G,AG-KC1340-CHV-ORA,AG-KC1340-CHV-ORA,FALSE,FALSE,Amazon US,4
B00BHMFK9G,AG-KC1340-CHV-ORA,AG-KC1340-CHV-ORA-FBA,TRUE,FALSE,Amazon US,4
B00BOUWQCU,AG-KC1340-CIV-BLU,AG-KC1340-CIV-BLU,FALSE,FALSE,Amazon US,0
B00BOUWQCU,AG-KC1340-CIV-BLU,AG-KC1340-CIV-BLU-FBA,TRUE,FALSE,Amazon US,0
B00BOUW3KK,AG-KC1340-CIV-BLK,AG-KC1340-CIV-BLK,FALSE,FALSE,Amazon US,0
B00BOUW3KK,AG-KC1340-CIV-BLK,AG-KC1340-CIV-BLK-FBA,TRUE,FALSE,Amazon US,0
B00BOUH5PI,AG-KC1340-CHR-RED,AG-KC1340-CHR-RED,FALSE,FALSE,Amazon US,4
B00BOUH5PI,AG-KC1340-CHR-RED,AG-KC1340-CHR-RED-FBA,TRUE,FALSE,Amazon US,4
B00BOUSZH0,AG-KC1340-CHV-BLU,AG-KC1340-CHV-BLU,FALSE,FALSE,Amazon US,0
B00BOUSZH0,AG-KC1340-CHV-BLU,AG-KC1340-CHV-BLU-FBA,TRUE,FALSE,Amazon US,0
B00BOUIG7E,AG-KC1340-CHV-BLK,AG-KC1340-CHV-BLK,FALSE,FALSE,Amazon US,0
B00BOUIG7E,AG-KC1340-CHV-BLK,AG-KC1340-CHV-BLK-FBA,TRUE,FALSE,Amazon US,0
B00BOV11QG,AG-KC1340-CMR-RED,AG-KC1340-CMR-RED,FALSE,FALSE,Amazon US,0
B00BOV11QG,AG-KC1340-CMR-RED,AG-KC1340-CMR-RED-FBA,TRUE,FALSE,Amazon US,0
B00BHMICO6,AG-KC1340-CMR-ORA,AG-KC1340-CMR-ORA,FALSE,FALSE,Amazon US,0
B00BHMICO6,AG-KC1340-CMR-ORA,AG-KC1340-CMR-ORA-FBA,TRUE,FALSE,Amazon US,0
B00HRCDHGI,AG-KC1340-CMRRS-BLU,AG-KC1340-CMRRS-BLU,FALSE,FALSE,Amazon US,0
B00HRCDHGI,AG-KC1340-CMRRS-BLU,AG-KC1340-CMRRS-BLU-FBA,TRUE,FALSE,Amazon US,0
B00BZG22ZE,AG-KC1340-CMRRS-BLK,AG-KC1340-CMRRS-BLK,FALSE,FALSE,Amazon US,0
B00BZG22ZE,AG-KC1340-CMRRS-BLK,AG-KC1340-CMRRS-BLK-FBA,TRUE,FALSE,Amazon US,0
B00BOUX9J4,AG-KC1340-CIV-RED,AG-KC1340-CIV-RED,FALSE,FALSE,Amazon US,1
B00BOUX9J4,AG-KC1340-CIV-RED,AG-KC1340-CIV-RED-FBA,TRUE,FALSE,Amazon US,1
B00BHMH36Y,AG-KC1340-CIV-ORA,AG-KC1340-CIV-ORA,FALSE,FALSE,Amazon US,7
