asin,itemName,sku,is_fba,kitFlag,channel_name,quantity
B00367HYB2,AG-KCK-CHR,AG-KCK-CHR-FBA,TRUE,FALSE,Amazon US,3
B0053GJB4M,AG-KCK-MUSTB,AG-KCK-MUS-TB-FBA,TRUE,FALSE,Amazon US,3
B00BN45GZQ,AG-KCK-MUSTB,CBS-KCK-MUSTB,FALSE,FALSE,Amazon US,3
B0053GJB4M,AG-KCK-MUSTB,AG-KCK-MUSTB,FALSE,FALSE,Amazon US,3
B0053GJB4M,AG-KCK-MUSTB,AG-KCK-MUSTB-FBA,TRUE,FALSE,Amazon US,3
B00BN45I0Y,AG-KCK-NAV,CBS-KCK-NAV,FALSE,FALSE,Amazon US,2
B00BN45I0Y,AG-KCK-NAV,CBS-KCK-NAV-FBA,TRUE,FALSE,Amazon US,2
B003B5SE9A,AG-KCK-NAV,AG-KCK-NAV,FALSE,FALSE,Amazon US,2
B003B5SE9A,AG-KCK-NAV,AG-KCK-NAV-FBA,TRUE,FALSE,Amazon US,2
B011VN9PU0,AG-KCK-CBSJ4,AG-KCK-CBSJ4-FBA,TRUE,FALSE,Amazon US,9
B011VN9PU0,AG-KCK-CBSJ4,AG-KCK-CBSJ4,FALSE,FALSE,Amazon US,9
B00BN44SKK,AG-KCK-CHA,CBS-KCK-CHA,FALSE,FALSE,Amazon US,2
B003KPGP6A,AG-KCK-CHA,AG-KCK-CHA,FALSE,FALSE,Amazon US,2
B003KPGP6A,AG-KCK-CHA,AG-KCK-CHA-FBA,TRUE,FALSE,Amazon US,2
B004V6RHHS,AG-KCK-MUSGT,AG-KCK-MGT,FALSE,FALSE,Amazon US,1
B004V6RHHS,AG-KCK-MUSGT,AG-KCK-MGT-FBA,TRUE,FALSE,Amazon US,1
B00BN45CZA,AG-KCK-MUSGT,CBS-KCK-MUSGT2,FALSE,FALSE,Amazon US,1
B00BN45CZA,AG-KCK-MUSGT,CBS-KCK-MUSGT2-FBA,TRUE,FALSE,Amazon US,1
B007PJPYXM,AG-KCK-MUSGT,CBS-KCK-MUSGT3,FALSE,FALSE,Amazon US,1
B007PJPYXM,AG-KCK-MUSGT,CBS-KCK-MUSGT3-FBA,TRUE,FALSE,Amazon US,1
B007PJPYXM,AG-KCK-MUSGT,AG-KCK-MUSGT,FALSE,FALSE,Amazon US,1
B007PJPYXM,AG-KCK-MUSGT,AG-KCK-MUSGT-FBA,TRUE,FALSE,Amazon US,1
B00BN44T5O,AG-KCK-CHG,CBS-KCK-CHG,FALSE,FALSE,Amazon US,3
B004IA92FM,AG-KCK-CHG,AG-KCK-CHG,FALSE,FALSE,Amazon US,3
B004IA92FM,AG-KCK-CHG,AG-KCK-CHG-FBA,TRUE,FALSE,Amazon US,3
B004MSMWMA,AG-KCK-MUS50,AG-KCK-MUS50,FALSE,FALSE,Amazon US,1
B007PJQWWY,AG-KCK-MUS50,AG-KCK-MUS50-AMZ,FALSE,FALSE,Amazon US,1
B004MSMWMA,AG-KCK-MUS50,AG-KCK-MUS50-FBA,TRUE,FALSE,Amazon US,1
B011VM061I,AG-KCK-CBSJ2,AG-KCK-CBSJ2-FBA,TRUE,FALSE,Amazon US,4
B011VM061I,AG-KCK-CBSJ2,AG-KCK-CBSJ2,FALSE,FALSE,Amazon US,4
B011VMHU8K,AG-KCK-CBSJ3,AG-KCK-CBSJ3-FBA,TRUE,FALSE,Amazon US,10
B011VMHU8K,AG-KCK-CBSJ3,AG-KCK-CBSJ3,FALSE,FALSE,Amazon US,10
B00J8RJRIW,AG-KCK-MUS5Y,AG-KCK-MUS5Y,FALSE,FALSE,Amazon US,2
B00J8RJRIW,AG-KCK-MUS5Y,AG-KCK-MUS5Y-FBA,TRUE,FALSE,Amazon US,2
B002ZQ7B9A,AG-KCK-MUS,AG-KCK-MUS,FALSE,FALSE,Amazon US,4
B007PJQCUG,AG-KCK-MUS,AG-KCK-MUS-AMZ,FALSE,FALSE,Amazon US,4
B002ZQ7B9A,AG-KCK-MUS,AG-KCK-MUS-FBA,TRUE,FALSE,Amazon US,4
B011VLLMXA,AG-KCK-CBSJ1,AG-KCK-CBSJ1-FBA,TRUE,FALSE,Amazon US,15
B011VLLMXA,AG-KCK-CBSJ1,AG-KCK-CBSJ1,FALSE,FALSE,Amazon US,15
B00NX2WEM4,AG-KC9120-MZ6,AG-KC9120-MZ6,FALSE,FALSE,Amazon US,1
B005JDX6EU,AG-KC9120-MZ6,AG-KC9120-MZ6-FBA,TRUE,FALSE,Amazon US,1
B00NX2QTG6,AG-KC9120-MZ3,AG-KC9120-MZ3,FALSE,FALSE,Amazon US,1
B005JDWVSM,AG-KC9120-MZ3,AG-KC9120-MZ3-FBA,TRUE,FALSE,Amazon US,1
B005OBRYEU,AG-KC9120-MUSTB,AG-KC9120-MUSTB,FALSE,FALSE,Amazon US,2
B005OBRYEU,AG-KC9120-MUSTB,AG-KC9120-MUSTB-FBA,TRUE,FALSE,Amazon US,2
B005JDXLRW,AG-KC9120-PTC,AG-KC9120-PTC,FALSE,FALSE,Amazon US,9
B005JDXLRW,AG-KC9120-PTC,AG-KC9120-PTC-FBA,TRUE,FALSE,Amazon US,9
B00FBNLMA8,AG-KC9120-PON,AG-KC9120-PON,FALSE,FALSE,Amazon US,0
B00FBNLMA8,AG-KC9120-PON,AG-KC9120-PON-FBA,TRUE,FALSE,Amazon US,0
B005JSP364,AG-KC9120-PIL,AG-KC9120-PIL,FALSE,FALSE,Amazon US,2
B005JSP364,AG-KC9120-PIL,AG-KC9120-PIL-FBA,TRUE,FALSE,Amazon US,2
B005OBT3R6,AG-KC9120-ODY,AG-KC9120-ODY,FALSE,FALSE,Amazon US,1
B005OBT3R6,AG-KC9120-ODY,AG-KC9120-ODY-FBA,TRUE,FALSE,Amazon US,1
B0064TFH1I,AG-KC9120-MKX,AG-KC9120-MKX,FALSE,FALSE,Amazon US,3
B0064TFH1I,AG-KC9120-MKX,AG-KC9120-MKX-FBA,TRUE,FALSE,Amazon US,3
B0064TEX18,AG-KC9120-MKS,AG-KC9120-MKS,FALSE,FALSE,Amazon US,5
B0064TEX18,AG-KC9120-MKS,AG-KC9120-MKS-FBA,TRUE,FALSE,Amazon US,5
B0064TEIRW,AG-KC9120-MIA,AG-KC9120-MIA,FALSE,FALSE,Amazon US,2
B0064TEIRW,AG-KC9120-MIA,AG-KC9120-MIA-FBA,TRUE,FALSE,Amazon US,2
B006TLTIQG,AG-KC9120-MDX,AG-KC9120-MDX,FALSE,FALSE,Amazon US,1
B006TLTIQG,AG-KC9120-MDX,AG-KC9120-MDX-FBA,TRUE,FALSE,Amazon US,1
B005QC9CBU,AG-KC9120-MUS,AG-KC9120-MUS,FALSE,FALSE,Amazon US,1
B005QC9CBU,AG-KC9120-MUS,AG-KC9120-MUS-FBA,TRUE,FALSE,Amazon US,1
B007TWDFM2,AG-KC9120-MOP,AG-KC9120-MOP,FALSE,FALSE,Amazon US,4
B007TWDFM2,AG-KC9120-MOP,AG-KC9120-MOP-FBA,TRUE,FALSE,Amazon US,4
B0064TG10Y,AG-KC9120-MKZ,AG-KC9120-MKZ,FALSE,FALSE,Amazon US,1
B0064TG10Y,AG-KC9120-MKZ,AG-KC9120-MKZ-FBA,TRUE,FALSE,Amazon US,1
B00NX1ZVZW,AG-KC9120-LIB,AG-KC9120-LIB,FALSE,FALSE,Amazon US,0
B00NX1ZVZW,AG-KC9120-LIB,AG-KC9120-LIB-FBA,TRUE,FALSE,Amazon US,0
